2024-10-17 12:57:57
68468786,담터 단호박 마차 50개입,5개,68150,4몰,273원/1개입,마차/단호박차/스틱형
17218274,천기초 좋은웰빙 콘프레이크 쌀눈 천마차 30T,1개,14270,1몰,476원/1T,천마차/스틱형/총량: 30T/1T당: 20g
17208194,구일종합식품 하이네 프리미엄 생강차 50T,1,9810,9몰,1개,생강차/총량: 50T/1T당: 15g
17208230,구일종합식품 하이네 프리미엄 생강차 50T,2,19900,8몰,2개,생강차/총량: 50T/1T당: 15g
32621171,자연초 바나바잎차 1200g,1개,24650,2몰,"2,054원/100g",파우치형
68556980,복음자리 복숭아 아이스티 파우더 1kg 1개,,8370,1몰,,
4278776,담터 구수한 우엉차 100T,2,6650,27몰,1개,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
17079899,담터 구수한 우엉차 100T,1,18650,18몰,2개,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
17079917,담터 구수한 우엉차 100T,3개,27280,18몰,91원/1T,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
17079935,담터 구수한 우엉차 100T,4개,35920,4몰,90원/1T,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
17079938,담터 구수한 우엉차 100T,5개,44550,3몰,89원/1T,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
17079944,담터 구수한 우엉차 100T,8개,81500,2몰,102원/1T,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
17075738,이마트 노브랜드 맑은 하루 배도라지차 12T,1개,8090,1몰,674원/1T,도라지차/티백형/총량: 12T/1T당: 1.3g
17070095,밀리언컴퍼니 멜팅컷티 15T,3개,66100,1몰,"1,469원/1T",액상/총량: 45T/1T당: 8g
17030642,중앙식품 중앙 동의명차 쌍화차 50T (비닐팩),2,11000,4몰,1개,쌍화차/스틱형/총량: 50T/원산지: 국내산/1T당: 18g
17030669,중앙식품 중앙 동의명차 쌍화차 50T (비닐팩),1,23800,1몰,2개,쌍화차/스틱형/총량: 50T/원산지: 국내산/1T당: 18g
16946561,참건강마을 양파껍질차 20T,1,9500,4몰,1개,기타 차/티백형/총량: 20T/원산지: 국내산/1T당: 0.6g
16946585,참건강마을 양파껍질차 20T,2개,18530,1몰,463원/1T,기타 차/티백형/총량: 20T/원산지: 국내산/1T당: 0.6g
16946615,참건강마을 양파껍질차 20T,2,27080,2몰,3개,기타 차/티백형/총량: 20T/원산지: 국내산/1T당: 0.6g
16946639,참건강마을 양파껍질차 20T,4개,36100,2몰,451원/1T,기타 차/티백형/총량: 20T/원산지: 국내산/1T당: 0.6g
16946240,송원식품 우리차 여주차 100T,1,7900,8몰,1개,기타 차/티백형/총량: 100T/원산지: 외국산/1T당: 0.8g
